name,cards,from_manual,extra_data
"First Game","Cellar,Market,Militia,Mine,Moat,Remodel,Smithy,Village,Woodcutter,Workshop","Dominion",
"Big Money","Adventurer,Bureaucrat,Chancellor,Chapel,Feast,Laboratory,Market,Mine,Moneylender,Throne Room","Dominion",
"Interaction","Bureaucrat,Chancellor,Council Room,Festival,Library,Militia,Moat,Spy,Thief,Village","Dominion",
"Size Distortion","Cellar,Chapel,Feast,Gardens,Laboratory,Thief,Village,Witch,Woodcutter,Workshop","Dominion",
"Village Square","Bureaucrat,Cellar,Festival,Library,Market,Remodel,Smithy,Throne Room,Village,Woodcutter","Dominion",
"Victory Dance","Bridge,Duke,Great Hall,Harem,Ironworks,Masquerade,Nobles,Pawn,Scout,Upgrade","Intrigue",
"Secret Schemes","Conspirator,Harem,Ironworks,Pawn,Saboteur,Shanty Town,Steward,Swindler,Trading Post,Tribute","Intrigue",
"Best Wishes","Coppersmith,Courtyard,Masquerade,Scout,Shanty Town,Steward,Torturer,Trading Post,Upgrade,Wishing Well","Intrigue",
"Deconstruction","Bridge,Mining Village,Remodel,Saboteur,Secret Chamber,Spy,Swindler,Thief,Throne Room,Torturer","Intrigue",
"Hand Madness","Bureaucrat,Chancellor,Council Room,Courtyard,Mine,Militia,Minion,Nobles,Steward,Torturer","Intrigue",
"Underlings","Baron,Cellar,Festival,Library,Masquerade,Minion,Nobles,Pawn,Steward,Witch","Intrigue",
"High Seas","Bazaar,Caravan,Embargo,Explorer,Haven,Island,Lookout,Pirate Ship,Smugglers,Wharf","Seaside",
"Buried Treasure","Ambassador,Cutpurse,Fishing Village,Lighthouse,Outpost,Pearl Diver,Tactician,Treasure Map,Warehouse,Wharf","Seaside",
"Shipwrecks","Ghost Ship,Merchant Ship,Native Village,Navigator,Pearl Diver,Salvager,Sea Hag,Smugglers,Treasury,Warehouse","Seaside",
"Reach for Tomorrow","Lookout,Sea Hag,Ghost Ship,Treasure Map,Cutpurse,Cellar,Spy,Council Room,Village,Adventurer","Seaside",
"Repetition","Pearl Diver,Pirate Ship,Treasury,Caravan,Explorer,Outpost,Workshop,Chancellor,Militia,Festival","Seaside",
"Give and Take","Fishing Village,Salvager,Smugglers,Haven,Island,Ambassador,Market,Moneylender,Witch,Library","Seaside",
"Forbidden Arts","Apprentice,Familiar,Possession,University,Cellar,Council Room,Gardens,Laboratory,Thief,Throne Room","Alchemy",
"Potion Mixers","Alchemist,Apothecary,Golem,Herbalist,Transmute,Cellar,Chancellor,Festival,Militia,Smithy","Alchemy",
"Chemistry Lesson","Alchemist,Golem,Philosopher's Stone,University,Bureaucrat,Market,Moat,Remodel,Witch,Woodcutter","Alchemy",
"Servants","Golem,Possession,Scrying Pool,Transmute,Vineyard,Conspirator,Great Hall,Minion,Pawn,Steward","Alchemy",
"Secret Research","Familiar,Herbalist,Philosopher's Stone,University,Bridge,Masquerade,Minion,Nobles,Shanty Town,Torturer","Alchemy",
"Pools, Tools, and Fools","Apothecary,Apprentice,Golem,Scrying Pool,Baron,Coppersmith,Ironworks,Nobles,Trading Post,Wishing Well","Alchemy",
"Beginners","Bank,Counting House,Expand,Goons,Monument,Rabble,Royal Seal,Venture,Watchtower,Worker's Village","Prosperity",
"Friendly Interactive","Bishop,City,Contraband,Forge,Hoard,Peddler,Royal Seal,Trade Route,Vault,Worker's Village","Prosperity",
"Big Actions","City,Expand,Grand Market,King's Court,Loan,Mint,Quarry,Rabble,Talisman,Vault","Prosperity",
"Biggest Money","Bank,Grand Market,Mint,Royal Seal,Venture,Adventurer,Laboratory,Mine,Moneylender,Spy","Prosperity",
